type,kernel,ell,measure,kl_last,wasserstein_last,stability
evidence,gaussian,0.1,ISR,0.0,1.8868691039278692e-33,good
evidence,gaussian,0.25,ISR,1.9357403438995867e-09,2.065209914084544e-08,good
evidence,gaussian,0.5,ISR,2.663379597542413e-06,0.00032699613272123436,good
evidence,gaussian,1.0,ISR,0.00012725910084830286,0.006410253830963167,good
evidence,gaussian,2.0,ISR,0.0002222956015340041,0.00849626247106743,good
evidence,exponential,0.1,ISR,3.854348754441104e-09,1.3972833112982776e-07,good
evidence,exponential,0.25,ISR,3.2087646025626355e-06,0.000303928177800221,good
evidence,exponential,0.5,ISR,5.2339443899857506e-05,0.003111543361186921,good
evidence,exponential,1.0,ISR,0.00014372806543381476,0.0067244799828285375,good
evidence,exponential,2.0,ISR,0.00021201924285661175,0.008249014524981077,good
diagnostic,ancestry_proxy,1,ISR,0.0003581783760729562,0.009300000000000008,good
diagnostic,ancestry_proxy,2,ISR,0.0003581783760729562,0.009300000000000008,good
diagnostic,ancestry_proxy,3,ISR,0.00035817837607246506,0.009299999999999104,good
diagnostic,ancestry_proxy,5,ISR,0.0003581783760727066,0.00929999999999925,good
diagnostic,ancestry_proxy,10,ISR,0.00035817837607294537,0.009299999999996585,good
diagnostic,same_basin,1,ISR,0.0,0.0,good
baseline,N/A,N/A,global_census,0.0003581783760729562,0.009300000000000008,good
